config_stem,entry_start,variant,total_return_ratio_pct,total_return_delta,base_total_return,candidate_total_return,annualized_return_ratio_pct,annualized_return_delta,base_annualized_return,candidate_annualized_return,annualized_volatility_ratio_pct,annualized_volatility_delta,base_annualized_volatility,candidate_annualized_volatility,max_drawdown_abs_ratio_pct,max_drawdown_abs_delta,base_max_drawdown_abs,candidate_max_drawdown_abs,sharpe_ratio_ratio_pct,sharpe_ratio_delta,base_sharpe_ratio,candidate_sharpe_ratio,turnover_amount_ratio_ratio_pct,turnover_amount_ratio_delta,base_turnover_amount_ratio,candidate_turnover_amount_ratio,annualized_turnover_amount_ratio_pct,annualized_turnover_amount_delta,base_annualized_turnover_amount,candidate_annualized_turnover_amount,trade_count_ratio_pct,trade_count_delta,base_trade_count,candidate_trade_count,order_count_ratio_pct,order_count_delta,base_order_count,candidate_order_count,rejected_order_count_ratio_pct,rejected_order_count_delta,base_rejected_order_count,candidate_rejected_order_count,skipped_order_count_ratio_pct,skipped_order_count_delta,base_skipped_order_count,candidate_skipped_order_count,skipped_below_lot_or_cash_count_ratio_pct,skipped_below_lot_or_cash_count_delta,base_skipped_below_lot_or_cash_count,candidate_skipped_below_lot_or_cash_count,max_pending_intent_count_ratio_pct,max_pending_intent_count_delta,base_max_pending_intent_count,candidate_max_pending_intent_count,average_cash_weight_ratio_pct,average_cash_weight_delta,base_average_cash_weight,candidate_average_cash_weight
r1_domestic_rolling_30y_bond_futures,2025-06-14,single_563020,90.31229851389102,-0.009273212989827861,0.09572149805735197,0.08644828506752411,90.29253995966535,-0.00977940425241397,0.1007411229279378,0.09096171867552383,100.68144711167504,0.00045102015601301837,0.06618564350568339,0.0666366636616964,104.55508616020674,0.0021465845182248033,0.04712500362731609,0.04927158814554089,89.68140859111172,-0.1570592095968235,1.5220993193076249,1.3650401097108014,99.56832402849251,-0.003007329291821015,0.6966635834092929,0.6936562541174719,99.5683240284925,-0.0031576957564121155,0.7314967625797576,0.7283390668233455,106.25,1.0,16,17,106.25,1.0,16,17,,0.0,0,0,0.0,-1.0,1,0,0.0,-1.0,1,0,100.0,0.0,4,4,97.84160211326876,-0.0030932654357793132,0.14331303115126168,0.14021976571548236
r1_domestic_rolling_30y_bond_futures,2025-08-14,single_515080,101.90524580946767,0.0013372632436030596,0.07018848890562257,0.07152575214922563,101.92347362339798,0.0017436202220255659,0.09064955197801572,0.09239317220004128,103.13659915410305,0.002173840419345263,0.0693056496078442,0.07147949002718947,111.15293753758083,0.005036250693042699,0.045156270947206534,0.05019252164024923,98.82376814762675,-0.015384732852693483,1.3079677124584048,1.2925829796057113,103.34017666399127,0.022381424817564333,0.6700670973139535,0.6924485221315179,103.34017666399127,0.028630045959523898,0.857141667630032,0.8857717135895559,100.0,0.0,14,14,100.0,0.0,14,14,,0.0,0,0,,0.0,0,0,,0.0,0,0,100.0,0.0,4,4,102.1031430746204,0.0033985560350957567,0.1615941433613193,0.16499269939641506
r1_domestic_rolling_30y_bond_futures,2025-08-14,single_563020,90.83664273839548,-0.006431621994943848,0.07018848890562257,0.06375686691067872,90.75835908366939,-0.008377506086070685,0.09064955197801572,0.08227204589194503,101.56014829510089,0.001081270910765375,0.0693056496078442,0.07038692051860958,106.36295711343142,0.002873274154395644,0.045156270947206534,0.04802954510160218,89.36414588520981,-0.1391135377656343,1.3079677124584048,1.1688541746927705,100.10417360493263,0.000698033050739344,0.6700670973139535,0.6707651303646929,100.10417360493263,0.0008929153745498297,0.857141667630032,0.8580345830045818,100.0,0.0,14,14,100.0,0.0,14,14,,0.0,0,0,,0.0,0,0,,0.0,0,0,100.0,0.0,4,4,103.5732049439477,0.0057740899197166184,0.1615941433613193,0.16736823328103592
r1_domestic_rolling_30y_bond_futures,2025-10-14,single_515080,125.92250627594306,0.005946392760066699,0.022939112047144716,0.028885504807211415,126.13482723111149,0.009504349296115322,0.0363666046538893,0.04587095395000462,107.80525366143547,0.004823374110988557,0.06179650681719784,0.0666198809281864,118.01341701281942,0.0071285608358209185,0.039573617991232934,0.04670217882705385,117.00248637904087,0.10005787254428422,0.5884896497704389,0.6885475223147232,103.5814541983245,0.024105016068046714,0.6730510773898412,0.6971560934578879,103.5814541983245,0.03796540030717366,1.0600554468889998,1.0980208471961734,100.0,0.0,12,12,100.0,0.0,12,12,,0.0,0,0,100.0,0.0,1,1,100.0,0.0,1,1,100.0,0.0,4,4,101.23103674670348,0.0024636103942002052,0.20012484605332298,0.20258845644752319
r1_domestic_rolling_30y_bond_futures,2025-10-14,single_563020,74.32747555694056,-0.005889049147324021,0.022939112047144716,0.017050062899820695,74.20315419243516,-0.009381436928010523,0.0363666046538893,0.026985167725878778,106.29357232883392,0.0038892078532331287,0.06179650681719784,0.06568571467043097,115.7907983432355,0.006248990214117955,0.039573617991232934,0.04582260820535089,69.8096343614056,-0.17766717701097912,0.5884896497704389,0.4108224727594598,99.8713514143577,-0.0008658706917122894,0.6730510773898412,0.6721852066981289,99.87135141435772,-0.001363746339446692,1.0600554468889998,1.058691700549553,108.33333333333333,1.0,12,13,108.33333333333333,1.0,12,13,,0.0,0,0,100.0,0.0,1,1,100.0,0.0,1,1,100.0,0.0,4,4,99.6856224095398,-0.0006291476689346265,0.20012484605332298,0.19949569838438835
r1_domestic_rolling_30y_bond_futures,2025-12-14,single_515080,1330.8407686147557,-0.008376012887164608,-0.0006805114926922151,-0.009056524379856823,1324.307296002596,-0.01809235815722654,-0.0014777628309737834,-0.019570120988200324,105.18862330481123,0.0034405183277196466,0.06630888629994366,0.06974940462766331,116.13250539528241,0.006478967886813014,0.0401609528592356,0.04663992074604861,1258.9833904043721,-0.25829156115038143,-0.022286045105466338,-0.28057760625584777,97.19026971883945,-0.01809798508993199,0.6441182348099515,0.6260202497200195,97.19026971883945,-0.039316312436748824,1.3992913376905842,1.3599750252538354,100.0,0.0,9,9,100.0,0.0,9,9,,0.0,0,0,,0.0,0,0,,0.0,0,0,100.0,0.0,4,4,99.75894773611806,-0.0006689283770031085,0.27750346179312224,0.27683453341611913
r1_domestic_rolling_30y_bond_futures,2025-12-14,single_563020,979.3284172336913,-0.005983930937783821,-0.0006805114926922151,-0.006664442430476036,975.8931896936557,-0.012943623996323539,-0.0014777628309737834,-0.014421386827297322,101.32684542148907,0.000879816421911192,0.06630888629994366,0.06718870272185486,108.17120123618788,0.0032816322764986916,0.0401609528592356,0.04344258513573429,963.1141536423393,-0.19235400959239576,-0.022286045105466338,-0.2146400546978621,99.21565011668727,-0.005052140623127865,0.6441182348099515,0.6390660941868236,99.21565011668727,-0.01097533997438127,1.3992913376905842,1.388315997716203,100.0,0.0,9,9,100.0,0.0,9,9,,0.0,0,0,,0.0,0,0,,0.0,0,0,100.0,0.0,4,4,100.37468779082879,0.001039771590466032,0.27750346179312224,0.2785432333835883
r1_domestic_rolling_30y_bond_futures,2026-02-14,single_515080,102.77530714024074,0.0003554321432159835,0.012806948033331933,0.013162380176547916,102.81995231831603,0.0012664059267601946,0.04490877092263923,0.046175176849399424,111.3674499718852,0.003663005646986059,0.032223635521121015,0.035886641168107074,111.22786698702069,0.0018207271240390233,0.016216144403418453,0.018036871527457476,92.32495881361474,-0.1069639290809623,1.3936593496163314,1.2866954205353691,99.91046020339223,-0.0004390560029661206,0.4903473311307663,0.48990827512780016,99.91046020339223,-0.0015156453801021819,1.6927058554103163,1.691190210030214,100.0,0.0,4,4,100.0,0.0,4,4,,0.0,0,0,,0.0,0,0,,0.0,0,0,100.0,0.0,4,4,99.94195958634873,-0.0002497085640592034,0.4302322267369365,0.4299825181728773
r1_domestic_rolling_30y_bond_futures,2026-02-14,single_563020,84.06332121517191,-0.0020410021702119696,0.012806948033331933,0.010765945863119963,83.8538717477827,-0.0072510277496637965,0.04490877092263923,0.03765774317297543,103.85293398223097,0.0012415554033035209,0.032223635521121015,0.033465190924424536,109.9758316966116,0.0016176952733645278,0.016216144403418453,0.01783383967678298,80.74290107406108,-0.2683783596462139,1.3936593496163314,1.1252809899701175,100.13261506466986,0.0006502744302859798,0.4903473311307663,0.49099760556105226,100.13261506466986,0.002244782964822889,1.6927058554103163,1.6949506383751392,100.0,0.0,4,4,100.0,0.0,4,4,,0.0,0,0,,0.0,0,0,,0.0,0,0,100.0,0.0,4,4,99.83488042000684,-0.0007103976457832339,0.4302322267369365,0.4295218290911533
r1_domestic_rolling_30y_bond_futures,2026-04-14,single_515080,110.03252206607141,-0.0016124824000767202,-0.016072552738557233,-0.017685035138633953,109.55118234433495,-0.009494132724264692,-0.09940269572903626,-0.10889682845330095,124.59443493960198,0.006837194166130205,0.027799761136699054,0.03463695530282926,112.15246431472717,0.00241760998107321,0.019893989551924784,0.022311599532997994,87.92622431125487,0.4317180443340587,-3.575667259882052,-3.1439492155479933,100.91227534459213,0.004517790996909521,0.4952223058192337,0.49974009681614323,100.91227534459213,0.029191880287723126,3.199897976062741,3.229089856350464,83.33333333333334,-1.0,6,5,83.33333333333334,-1.0,6,5,,0.0,0,0,,0.0,0,0,,0.0,0,0,100.0,0.0,4,4,99.75568592171923,-0.0019473879172730024,0.7970837910679618,0.7951364031506888
r1_domestic_rolling_30y_bond_futures,2026-04-14,single_563020,113.37195689573487,-0.002149214824244128,-0.016072552738557233,-0.01822176756280136,112.71145733006355,-0.012635531252529364,-0.09940269572903626,-0.11203822698156563,111.20807807678852,0.0031158189333619427,0.027799761136699054,0.030915580070060997,109.02821111741268,0.0017960713764237912,0.019893989551924784,0.021690060928348576,101.35186155473073,-0.048338071011439165,-3.575667259882052,-3.624005330893491,99.80564984531146,-0.0009624653174118425,0.4952223058192337,0.49425984050182187,99.80564984531146,-0.006219006666353444,3.199897976062741,3.1936789693963874,100.0,0.0,6,6,100.0,0.0,6,6,,0.0,0,0,,0.0,0,0,,0.0,0,0,100.0,0.0,4,4,100.05275013484459,0.00042046277461271764,0.7970837910679618,0.7975042538425745
r2_global_dividend_ewma_risk_parity_cvar_dynamic_budget,2023-12-14,single_515080,101.31569499751281,0.006182455605963533,0.4699003657877321,0.4760828213936956,101.18119323951372,0.00207421816572384,0.17560362659862228,0.17767784476434612,99.1188881021986,-0.0005791406833184354,0.06572839213311506,0.06514925144979662,91.56709076351338,-0.003856307184232022,0.04572926229950347,0.04187295511527145,102.08063788527242,0.05558747847541623,2.6716555950887204,2.7272430735641366,118.61856568787783,0.26042856170727857,1.3987573805260327,1.6591859422333113,118.6185656878778,0.10937999591705694,0.5874780998209338,0.6968580957379907,138.77551020408163,19.0,49,68,140.81632653061226,20.0,49,69,,1.0,0,1,175.0,3.0,4,7,175.0,3.0,4,7,100.0,0.0,4,4,103.75570354718204,0.002073973283452414,0.05522196460390358,0.05729593788735599
r2_global_dividend_ewma_risk_parity_cvar_dynamic_budget,2023-12-14,single_563020,95.50562316378107,-0.021119093193271876,0.4699003657877321,0.4487812725944602,95.94319955048809,-0.007123888713212123,0.17560362659862228,0.16847973788541015,99.71295370049901,-0.00018867091733960895,0.06572839213311506,0.06553972121577545,93.79976817092826,-0.002835320276293518,0.04572926229950347,0.04289394202320995,96.21939375967753,-0.10100477814784847,2.6716555950887204,2.570650816940872,102.37862691419117,0.03327121951742762,1.3987573805260327,1.4320286000434603,102.37862691419117,0.013973912197319582,0.5874780998209338,0.6014520120182534,104.08163265306123,2.0,49,51,104.08163265306123,2.0,49,51,,0.0,0,0,100.0,0.0,4,4,100.0,0.0,4,4,100.0,0.0,4,4,103.04688917046872,0.0016825520592364043,0.05522196460390358,0.05690451666313998
