config_stem,variant,avg_div_weight,median_div_weight,max_div_weight,avg_order_target_weight,median_order_target_weight,div_trade_count,div_trade_value_abs,div_order_count,div_rejected_order_count
demo_r1_domestic_ewma_cov,single_563020,0.07029464036545784,0.0754734986411227,0.1062073493247815,0.10480317402355586,0.1074648924777869,7,156096.37342000002,63,56
r1_domestic_ewma_10y_bond_3x_vol,single_515080,0.2673116847284881,0.274498166255852,0.3996392360405691,0.2729860812768155,0.2750904482554037,15,1167594.1656,56,41
r1_domestic_ewma_10y_bond_3x_vol,single_563020,0.27882950760818725,0.2715629482593057,0.3881908341659186,0.2688582605200487,0.2640099385554508,15,753965.8083400001,147,132
r1_domestic_ewma_30y_bond_futures,single_515080,0.19035098797430566,0.194155715878842,0.2823582567935598,0.20582968470940732,0.2097975086242145,16,851750.13464,176,160
r1_domestic_ewma_30y_bond_futures,single_563020,0.20114666320787158,0.2137655269168119,0.2727349763204517,0.20446421633879328,0.2104296733849228,17,594621.13944,219,202
r1_domestic_ewma_risk_parity_cvar_dynamic_budget,single_515080,0.13063469334358496,0.1281034990823389,0.2164690804259439,0.12133149662816328,0.1203736691808206,13,505705.28172,50,37
r1_domestic_ewma_risk_parity_cvar_dynamic_budget,single_563020,0.14391608791586433,0.1184954575505176,0.2329727248633025,0.11793208990810779,0.1117740326722546,13,437420.59042,118,105
r1_domestic_rolling_10y_bond_3x_vol,single_515080,0.2214039569532526,0.2056898172483657,0.3326028526366439,0.21468596079517321,0.2292235479382069,14,661840.47884,42,28
r1_domestic_rolling_10y_bond_3x_vol,single_563020,0.2279387161299269,0.2007935419267356,0.341882827873387,0.21862357771678076,0.1842573361169405,16,632495.1572,117,101
r1_domestic_rolling_30y_bond_futures,single_515080,0.13901489242000073,0.1205722340577699,0.1977914928556888,0.12809394966776916,0.1196353184118671,8,326194.98751999997,18,10
r1_domestic_rolling_30y_bond_futures,single_563020,0.14594965690386155,0.1250385643859344,0.2215514374893845,0.1470224785366215,0.1274940369923486,9,353550.356,9,0
r2_global_dividend_ewma_risk_parity_cvar_dynamic_budget,single_515080,0.17040527766685912,0.1777797460210984,0.2715668428542324,0.19890678453790625,0.2296299167207571,19,760805.59956,66,47
r2_global_dividend_ewma_risk_parity_cvar_dynamic_budget,single_563020,0.17843548776523346,0.194685756697816,0.2409001080361356,0.1548682838136835,0.145312663757559,13,542101.87112,50,37
r2_global_ewma_risk_parity_cvar_dynamic_budget,single_515080,0.11822750563862795,0.1182874058348379,0.1733901187090932,0.1533359820035303,0.1794898089447091,15,467804.54532,127,112
r2_global_ewma_risk_parity_cvar_dynamic_budget,single_563020,0.13167692216289345,0.1224444848186204,0.1917057496821874,0.10501957276803205,0.0941207617443148,14,370370.61432,102,88
r3_global_nasdaq_all_weather_ewma_risk_parity_cvar_dynamic_budget,single_515080,0.09052418447934003,0.0995336808743739,0.1602297337129194,0.09364570941403068,0.0857559978821732,13,415299.36598,133,120
r3_global_nasdaq_all_weather_ewma_risk_parity_cvar_dynamic_budget,single_563020,0.10730034042361751,0.0919617892979025,0.1509448196345407,0.1350708122667419,0.154743745702523,15,250446.71511999995,118,103
us_blend_ewma_risk_parity_cvar_dynamic_budget,single_515080,0.10963319729445842,0.1091432234280208,0.1670295337361647,0.13368187610596488,0.1315501883833151,27,458974.5144,87,60
us_blend_ewma_risk_parity_cvar_dynamic_budget,single_563020,0.11787214187856576,0.1020395907429844,0.1836583905307299,0.10705147520602414,0.1109788855255419,26,484816.4264,84,58
