trade_date,close
2015-05-21,5066.0
2015-05-22,5134.0
2015-05-25,5000.0
2015-05-26,5026.0
2015-05-27,5044.0
2015-05-28,5020.0
2015-05-29,5036.0
2015-06-01,5108.0
2015-06-02,5216.0
2015-06-03,5230.0
2015-06-04,5188.0
2015-06-05,5164.0
2015-06-08,5132.0
2015-06-09,5124.0
2015-06-10,5214.0
2015-06-11,5188.0
2015-06-12,5070.0
2015-06-15,5056.0
2015-06-16,5094.0
2015-06-17,5084.0
2015-06-18,5026.0
2015-06-19,5052.0
2015-06-24,5126.0
2015-06-25,5070.0
2015-06-26,5052.0
2015-06-29,5094.0
2015-06-30,4902.0
2015-07-01,4940.0
2015-07-02,5068.0
2015-07-03,4970.0
2015-07-06,4814.0
2015-07-07,4672.0
2015-07-08,4412.0
2015-07-09,4636.0
2015-07-10,4642.0
2015-07-13,4562.0
2015-07-14,4538.0
2015-07-15,4538.0
2015-07-16,4540.0
2015-07-17,4514.0
2015-07-20,4606.0
2015-07-21,4592.0
2015-07-22,4626.0
2015-07-23,4618.0
2015-07-24,4592.0
2015-07-27,4558.0
2015-07-28,4540.0
2015-07-29,4566.0
2015-07-30,4570.0
2015-07-31,4570.0
2015-08-03,4504.0
2015-08-04,4514.0
2015-08-05,4596.0
2015-08-06,4622.0
2015-08-07,4672.0
2015-08-10,4692.0
2015-08-11,4676.0
2015-08-12,4716.0
2015-08-13,4820.0
2015-08-14,4732.0
2015-08-17,4726.0
2015-08-18,4706.0
2015-08-19,4738.0
2015-08-20,4644.0
2015-08-21,4600.0
2015-08-24,4448.0
2015-08-25,4268.0
2015-08-26,4280.0
2015-08-27,4356.0
2015-08-28,4514.0
2015-08-31,4488.0
2015-09-01,4600.0
2015-09-02,4576.0
2015-09-07,4356.0
2015-09-08,4540.0
2015-09-09,4562.0
2015-09-10,4648.0
2015-09-11,4690.0
2015-09-14,4658.0
2015-09-15,4574.0
2015-09-16,4664.0
2015-09-17,4658.0
2015-09-18,4612.0
2015-09-21,4636.0
2015-09-22,4596.0
2015-09-23,4628.0
2015-09-24,4598.0
2015-09-25,4580.0
2015-09-28,4482.0
2015-09-29,4502.0
2015-09-30,4526.0
2015-10-08,4670.0
2015-10-09,4794.0
2015-10-12,4778.0
2015-10-13,4734.0
2015-10-14,4716.0
2015-10-15,4714.0
2015-10-16,4692.0
2015-10-19,4676.0
2015-10-20,4658.0
2015-10-21,4614.0
2015-10-22,4672.0
2015-10-23,4716.0
2015-10-26,4682.0
2015-10-27,4584.0
2015-10-28,4584.0
2015-10-29,4642.0
2015-10-30,4656.0
2015-11-02,4748.0
2015-11-03,4688.0
2015-11-04,4736.0
2015-11-05,4656.0
2015-11-06,4750.0
2015-11-09,4750.0
2015-11-10,4724.0
2015-11-11,4658.0
2015-11-12,4682.0
2015-11-13,4666.0
2015-11-16,4578.0
2015-11-17,4556.0
2015-11-18,4566.0
2015-11-19,4542.0
2015-11-20,4628.0
2015-11-23,4576.0
2015-11-24,4500.0
2015-11-25,4570.0
2015-11-26,4570.0
2015-11-27,4510.0
2015-11-30,4476.0
2015-12-01,4502.0
2015-12-02,4502.0
2015-12-03,4492.0
2015-12-04,4504.0
2015-12-07,4458.0
2015-12-08,4306.0
2015-12-09,4368.0
2015-12-10,4338.0
2015-12-11,4350.0
2015-12-14,4318.0
2015-12-15,4338.0
2015-12-16,4360.0
2015-12-17,4350.0
2015-12-18,4376.0
2015-12-21,4428.0
2015-12-22,4430.0
2015-12-23,4410.0
2015-12-24,4412.0
2015-12-25,4428.0
2015-12-28,4370.0
2015-12-29,4424.0
2015-12-30,4468.0
2015-12-31,4462.0
2016-01-04,4440.0
2016-01-05,4488.0
2016-01-06,4468.0
2016-01-07,4424.0
2016-01-08,4428.0
2016-01-11,4382.0
2016-01-12,4248.0
2016-01-13,4254.0
2016-01-14,4262.0
2016-01-15,4254.0
2016-01-18,4250.0
2016-01-19,4328.0
2016-01-20,4264.0
2016-01-21,4284.0
2016-01-22,4346.0
2016-01-25,4344.0
2016-01-26,4318.0
2016-01-27,4348.0
2016-01-28,4316.0
2016-01-29,4368.0
2016-02-01,4342.0
2016-02-02,4342.0
2016-02-03,4326.0
2016-02-04,4398.0
2016-02-05,4408.0
2016-02-15,4438.0
2016-02-16,4434.0
2016-02-17,4402.0
2016-02-18,4424.0
2016-02-19,4448.0
2016-02-22,4448.0
2016-02-23,4438.0
2016-02-24,4426.0
2016-02-25,4428.0
2016-02-26,4362.0
2016-02-29,4386.0
2016-03-01,4564.0
2016-03-02,4552.0
2016-03-03,4572.0
2016-03-04,4620.0
2016-03-07,4758.0
2016-03-08,4704.0
2016-03-09,4668.0
2016-03-10,4608.0
2016-03-11,4628.0
2016-03-14,4592.0
2016-03-15,4566.0
2016-03-16,4584.0
2016-03-17,4642.0
2016-03-18,4710.0
2016-03-21,4664.0
2016-03-22,4692.0
2016-03-23,4664.0
2016-03-24,4522.0
2016-03-25,4598.0
2016-03-28,4656.0
2016-03-29,4674.0
2016-03-30,4768.0
2016-03-31,4854.0
2016-04-01,4896.0
2016-04-06,4762.0
2016-04-07,4746.0
2016-04-08,4710.0
2016-04-11,4754.0
2016-04-12,4750.0
2016-04-13,4816.0
2016-04-14,4924.0
2016-04-15,4822.0
2016-04-18,4804.0
2016-04-19,4816.0
2016-04-20,4890.0
2016-04-21,5064.0
2016-04-22,4930.0
2016-04-25,5126.0
2016-04-26,5098.0
2016-04-27,5120.0
2016-04-28,5024.0
2016-04-29,5012.0
2016-05-03,4806.0
2016-05-04,4936.0
2016-05-05,4872.0
2016-05-06,4816.0
2016-05-09,4774.0
2016-05-10,4746.0
2016-05-11,4758.0
2016-05-12,4692.0
2016-05-13,4630.0
2016-05-16,4642.0
2016-05-17,4732.0
2016-05-18,4686.0
2016-05-19,4618.0
2016-05-20,4634.0
2016-05-23,4544.0
2016-05-24,4516.0
2016-05-25,4520.0
2016-05-26,4550.0
2016-05-27,4514.0
2016-05-30,4544.0
2016-05-31,4600.0
2016-06-01,4532.0
2016-06-02,4546.0
2016-06-03,4672.0
2016-06-06,4690.0
2016-06-07,4672.0
2016-06-08,4692.0
2016-06-13,4664.0
2016-06-14,4720.0
2016-06-15,4668.0
2016-06-16,4672.0
2016-06-17,4708.0
2016-06-20,4790.0
2016-06-21,4688.0
2016-06-22,4740.0
2016-06-23,4758.0
2016-06-24,4688.0
2016-06-27,4788.0
2016-06-28,4796.0
2016-06-29,4786.0
2016-06-30,4844.0
2016-07-01,4788.0
2016-07-04,4912.0
2016-07-05,4852.0
2016-07-06,4752.0
2016-07-07,4716.0
2016-07-08,4624.0
2016-07-11,4644.0
2016-07-12,4692.0
2016-07-13,4686.0
2016-07-14,4684.0
2016-07-15,4676.0
2016-07-18,4626.0
2016-07-19,4630.0
2016-07-20,4632.0
2016-07-21,4726.0
2016-07-22,4688.0
2016-07-25,4660.0
2016-07-26,4600.0
2016-07-27,4602.0
2016-07-28,4602.0
2016-07-29,4500.0
2016-08-01,4562.0
2016-08-02,4552.0
2016-08-03,4624.0
2016-08-04,4608.0
2016-08-05,4770.0
2016-08-08,4782.0
2016-08-09,4842.0
2016-08-10,4830.0
2016-08-11,4840.0
2016-08-12,4866.0
2016-08-15,4870.0
2016-08-16,4850.0
2016-08-17,4916.0
2016-08-18,4890.0
2016-08-19,4894.0
2016-08-22,4780.0
2016-08-23,4796.0
2016-08-24,4782.0
2016-08-25,4806.0
2016-08-26,4796.0
2016-08-29,4792.0
2016-08-30,4760.0
2016-08-31,4738.0
2016-09-01,4774.0
2016-09-02,4818.0
2016-09-05,4840.0
2016-09-06,4848.0
2016-09-07,4812.0
2016-09-08,4870.0
2016-09-09,4858.0
2016-09-12,4776.0
2016-09-13,4758.0
2016-09-14,4756.0
2016-09-19,4788.0
2016-09-20,4762.0
2016-09-21,4748.0
2016-09-22,4764.0
2016-09-23,4776.0
2016-09-26,4728.0
2016-09-27,4736.0
2016-09-28,4714.0
2016-09-29,4724.0
2016-09-30,4706.0
2016-10-10,4750.0
2016-10-11,4830.0
2016-10-12,4796.0
2016-10-13,4722.0
2016-10-14,4724.0
2016-10-17,4784.0
2016-10-18,4806.0
2016-10-19,4806.0
2016-10-20,4904.0
2016-10-21,4862.0
2016-10-24,4912.0
2016-10-25,4898.0
2016-10-26,4876.0
2016-10-27,4860.0
2016-10-28,4900.0
2016-10-31,4924.0
2016-11-01,4870.0
2016-11-02,4806.0
2016-11-03,4822.0
2016-11-04,4772.0
2016-11-07,4822.0
2016-11-08,4832.0
2016-11-09,4880.0
2016-11-10,4992.0
2016-11-11,5172.0
2016-11-14,4774.0
2016-11-15,4916.0
2016-11-16,4968.0
2016-11-17,4964.0
2016-11-18,4964.0
2016-11-21,5028.0
2016-11-22,5100.0
2016-11-23,5094.0
2016-11-24,5158.0
2016-11-25,5148.0
2016-11-28,5188.0
2016-11-29,5194.0
2016-11-30,5124.0
2016-12-01,5182.0
2016-12-02,5230.0
2016-12-05,5262.0
2016-12-06,5224.0
2016-12-07,5232.0
2016-12-08,5240.0
2016-12-09,5380.0
2016-12-12,5550.0
2016-12-13,5532.0
2016-12-14,5474.0
2016-12-15,5502.0
2016-12-16,5470.0
2016-12-19,5506.0
2016-12-20,5344.0
2016-12-21,5390.0
2016-12-22,5326.0
2016-12-23,5318.0
2016-12-26,5262.0
2016-12-27,5364.0
2016-12-28,5454.0
2016-12-29,5464.0
2016-12-30,5456.0
2017-01-03,5298.0
2017-01-04,5386.0
2017-01-05,5342.0
2017-01-06,5352.0
2017-01-09,5376.0
2017-01-10,5334.0
2017-01-11,5418.0
2017-01-12,5448.0
2017-01-13,5456.0
2017-01-16,5456.0
2017-01-17,5436.0
2017-01-18,5416.0
2017-01-19,5452.0
2017-01-20,5400.0
2017-01-23,5572.0
2017-01-24,5568.0
2017-01-25,5662.0
2017-01-26,5656.0
2017-02-03,5652.0
2017-02-06,5784.0
2017-02-07,5746.0
2017-02-08,5768.0
2017-02-09,5702.0
2017-02-10,5744.0
2017-02-13,5846.0
2017-02-14,5856.0
2017-02-15,5708.0
2017-02-16,5662.0
2017-02-17,5674.0
2017-02-20,5690.0
2017-02-21,5660.0
2017-02-22,5646.0
