code,trade_date,open_price,high_price,low_price,close_price,volume,amount,adjust_factor,turnover_rate,market,adjustment,data_source,created_at,updated_at
160520.SH,2017-12-28,0.984,0.987,0.984,0.987,25.0,0.0,1.0,,sz,none,tencent,2026-04-07 15:46:48.992410,2026-04-07 15:46:48.992410
160520.SH,2017-12-29,0.991,0.991,0.991,0.991,80.0,0.0,1.0,,sz,none,tencent,2026-04-07 15:46:48.992410,2026-04-07 15:46:48.992410
160520.SH,2018-01-02,0.989,0.992,0.989,0.992,1680.0,0.0,1.0,,sz,none,tencent,2026-04-07 15:46:48.992410,2026-04-07 15:46:48.992410
160520.SH,2018-01-03,0.994,0.994,0.993,0.994,6.0,0.0,1.0,,sz,none,tencent,2026-04-07 15:46:48.992410,2026-04-07 15:46:48.992410
160520.SH,2018-01-04,0.994,0.994,0.994,0.994,4.0,0.0,1.0,,sz,none,tencent,2026-04-07 15:46:48.993912,2026-04-07 15:46:48.993912
160520.SH,2018-01-05,0.992,0.995,0.992,0.995,170.0,0.0,1.0,,sz,none,tencent,2026-04-07 15:46:48.993912,2026-04-07 15:46:48.993912
160520.SH,2018-01-09,0.996,0.999,0.996,0.999,1080.0,0.0,1.0,,sz,none,tencent,2026-04-07 15:46:48.993912,2026-04-07 15:46:48.993912
160520.SH,2018-01-11,0.995,0.995,0.994,0.995,8095.0,0.0,1.0,,sz,none,tencent,2026-04-07 15:46:48.993912,2026-04-07 15:46:48.993912
160520.SH,2018-01-12,0.997,0.999,0.995,0.999,505.0,0.0,1.0,,sz,none,tencent,2026-04-07 15:46:48.993912,2026-04-07 15:46:48.993912
160520.SH,2018-01-15,0.996,0.998,0.996,0.998,396.0,0.0,1.0,,sz,none,tencent,2026-04-07 15:46:48.993912,2026-04-07 15:46:48.993912
160520.SH,2018-01-16,0.997,0.998,0.997,0.998,24.0,0.0,1.0,,sz,none,tencent,2026-04-07 15:46:48.993912,2026-04-07 15:46:48.993912
160520.SH,2018-01-17,1.001,1.001,0.998,1.0,3452.0,0.0,1.0,,sz,none,tencent,2026-04-07 15:46:48.993912,2026-04-07 15:46:48.993912
160520.SH,2018-01-18,0.999,1.001,0.999,1.001,2218.0,0.0,1.0,,sz,none,tencent,2026-04-07 15:46:48.993912,2026-04-07 15:46:48.993912
160520.SH,2018-01-19,1.003,1.005,1.003,1.005,1347.0,0.0,1.0,,sz,none,tencent,2026-04-07 15:46:48.993912,2026-04-07 15:46:48.993912
160520.SH,2018-01-22,1.007,1.009,1.007,1.009,630.0,0.0,1.0,,sz,none,tencent,2026-04-07 15:46:48.993912,2026-04-07 15:46:48.993912
160520.SH,2018-01-23,1.009,1.009,1.008,1.009,7092.0,0.0,1.0,,sz,none,tencent,2026-04-07 15:46:48.993912,2026-04-07 15:46:48.993912
160520.SH,2018-01-24,1.012,1.012,1.009,1.01,5675.0,0.0,1.0,,sz,none,tencent,2026-04-07 15:46:48.993912,2026-04-07 15:46:48.993912
160520.SH,2018-01-25,1.01,1.011,1.01,1.011,367.0,0.0,1.0,,sz,none,tencent,2026-04-07 15:46:48.993912,2026-04-07 15:46:48.993912
160520.SH,2018-01-26,1.012,1.012,1.012,1.012,190.0,0.0,1.0,,sz,none,tencent,2026-04-07 15:46:48.993912,2026-04-07 15:46:48.993912
160520.SH,2018-01-29,1.008,1.011,1.008,1.011,5.0,0.0,1.0,,sz,none,tencent,2026-04-07 15:46:48.993912,2026-04-07 15:46:48.993912
160520.SH,2018-01-30,1.01,1.012,1.01,1.012,33.0,0.0,1.0,,sz,none,tencent,2026-04-07 15:46:48.993912,2026-04-07 15:46:48.993912
160520.SH,2018-01-31,1.012,1.012,1.012,1.012,23.0,0.0,1.0,,sz,none,tencent,2026-04-07 15:46:48.993912,2026-04-07 15:46:48.993912
160520.SH,2018-02-05,1.01,1.01,1.003,1.003,693.0,0.0,1.0,,sz,none,tencent,2026-04-07 15:46:48.993912,2026-04-07 15:46:48.993912
160520.SH,2018-02-06,1.007,1.007,1.007,1.007,4.0,0.0,1.0,,sz,none,tencent,2026-04-07 15:46:48.993912,2026-04-07 15:46:48.993912
160520.SH,2018-02-22,0.989,0.992,0.989,0.99,34.0,0.0,1.0,,sz,none,tencent,2026-04-07 15:46:48.993912,2026-04-07 15:46:48.993912
160520.SH,2018-03-12,0.974,0.987,0.966,0.971,38.0,0.0,1.0,,sz,none,tencent,2026-04-07 15:46:48.993912,2026-04-07 15:46:48.993912
160520.SH,2018-03-13,0.965,0.965,0.965,0.965,1.0,0.0,1.0,,sz,none,tencent,2026-04-07 15:46:48.993912,2026-04-07 15:46:48.993912
160520.SH,2018-03-22,0.972,0.972,0.966,0.969,44.0,0.0,1.0,,sz,none,tencent,2026-04-07 15:46:48.993912,2026-04-07 15:46:48.993912
160520.SH,2018-03-23,0.964,0.964,0.964,0.964,4.0,0.0,1.0,,sz,none,tencent,2026-04-07 15:46:48.993912,2026-04-07 15:46:48.993912
160520.SH,2018-03-26,0.966,0.966,0.966,0.966,4.0,0.0,1.0,,sz,none,tencent,2026-04-07 15:46:48.993912,2026-04-07 15:46:48.993912
160520.SH,2018-03-27,0.968,0.968,0.964,0.964,294.0,0.0,1.0,,sz,none,tencent,2026-04-07 15:46:48.993912,2026-04-07 15:46:48.993912
160520.SH,2018-03-28,0.96,0.96,0.953,0.956,55.0,0.0,1.0,,sz,none,tencent,2026-04-07 15:46:48.993912,2026-04-07 15:46:48.993912
160520.SH,2018-04-02,0.966,0.966,0.966,0.966,10.0,0.0,1.0,,sz,none,tencent,2026-04-07 15:46:48.993912,2026-04-07 15:46:48.993912
160520.SH,2018-04-03,0.96,0.968,0.96,0.968,9.0,0.0,1.0,,sz,none,tencent,2026-04-07 15:46:48.993912,2026-04-07 15:46:48.993912
160520.SH,2018-04-04,0.967,0.967,0.966,0.966,39.0,0.0,1.0,,sz,none,tencent,2026-04-07 15:46:48.993912,2026-04-07 15:46:48.993912
160520.SH,2018-04-09,0.968,0.968,0.968,0.968,4.0,0.0,1.0,,sz,none,tencent,2026-04-07 15:46:48.993912,2026-04-07 15:46:48.993912
160520.SH,2018-04-10,0.971,0.971,0.967,0.967,766.0,0.0,1.0,,sz,none,tencent,2026-04-07 15:46:48.993912,2026-04-07 15:46:48.993912
160520.SH,2018-04-11,0.969,0.975,0.969,0.97,324.0,0.0,1.0,,sz,none,tencent,2026-04-07 15:46:48.993912,2026-04-07 15:46:48.993912
160520.SH,2018-04-12,0.971,0.971,0.971,0.971,4.0,0.0,1.0,,sz,none,tencent,2026-04-07 15:46:48.993912,2026-04-07 15:46:48.993912
160520.SH,2018-04-13,0.97,0.973,0.97,0.973,11.0,0.0,1.0,,sz,none,tencent,2026-04-07 15:46:48.993912,2026-04-07 15:46:48.993912
160520.SH,2018-04-17,0.97,0.97,0.969,0.97,11.0,0.0,1.0,,sz,none,tencent,2026-04-07 15:46:48.993912,2026-04-07 15:46:48.993912
160520.SH,2018-04-18,0.971,0.978,0.971,0.978,2082.0,0.0,1.0,,sz,none,tencent,2026-04-07 15:46:48.993912,2026-04-07 15:46:48.993912
160520.SH,2018-04-19,0.97,0.978,0.97,0.978,177.0,0.0,1.0,,sz,none,tencent,2026-04-07 15:46:48.993912,2026-04-07 15:46:48.993912
160520.SH,2018-04-20,0.983,0.983,0.983,0.983,200.0,0.0,1.0,,sz,none,tencent,2026-04-07 15:46:48.993912,2026-04-07 15:46:48.993912
160520.SH,2018-04-24,0.979,0.979,0.979,0.979,10.0,0.0,1.0,,sz,none,tencent,2026-04-07 15:46:48.993912,2026-04-07 15:46:48.993912
160520.SH,2018-04-26,0.973,0.973,0.973,0.973,3.0,0.0,1.0,,sz,none,tencent,2026-04-07 15:46:48.993912,2026-04-07 15:46:48.993912
160520.SH,2018-05-03,0.973,0.973,0.973,0.973,4.0,0.0,1.0,,sz,none,tencent,2026-04-07 15:46:48.993912,2026-04-07 15:46:48.993912
160520.SH,2018-05-09,0.973,0.988,0.973,0.988,9.0,0.0,1.0,,sz,none,tencent,2026-04-07 15:46:48.993912,2026-04-07 15:46:48.993912
160520.SH,2018-05-14,0.975,0.975,0.966,0.966,92.0,0.0,1.0,,sz,none,tencent,2026-04-07 15:46:48.993912,2026-04-07 15:46:48.993912
160520.SH,2018-05-15,0.966,0.972,0.966,0.972,62.0,0.0,1.0,,sz,none,tencent,2026-04-07 15:46:48.993912,2026-04-07 15:46:48.993912
160520.SH,2018-05-16,0.973,0.973,0.973,0.973,4.0,0.0,1.0,,sz,none,tencent,2026-04-07 15:46:48.993912,2026-04-07 15:46:48.993912
160520.SH,2018-05-17,0.972,0.972,0.972,0.972,390.0,0.0,1.0,,sz,none,tencent,2026-04-07 15:46:48.993912,2026-04-07 15:46:48.993912
160520.SH,2018-05-18,0.973,0.973,0.973,0.973,8.0,0.0,1.0,,sz,none,tencent,2026-04-07 15:46:48.993912,2026-04-07 15:46:48.993912
160520.SH,2018-05-22,0.976,0.976,0.973,0.973,58.0,0.0,1.0,,sz,none,tencent,2026-04-07 15:46:48.993912,2026-04-07 15:46:48.993912
160520.SH,2018-05-24,0.972,0.974,0.952,0.958,938.0,0.0,1.0,,sz,none,tencent,2026-04-07 15:46:48.993912,2026-04-07 15:46:48.993912
160520.SH,2018-05-28,0.974,0.974,0.965,0.965,307.0,0.0,1.0,,sz,none,tencent,2026-04-07 15:46:48.993912,2026-04-07 15:46:48.993912
160520.SH,2018-05-29,0.965,0.965,0.965,0.965,4.0,0.0,1.0,,sz,none,tencent,2026-04-07 15:46:48.993912,2026-04-07 15:46:48.993912
160520.SH,2018-06-04,0.961,0.961,0.953,0.953,118.0,0.0,1.0,,sz,none,tencent,2026-04-07 15:46:48.993912,2026-04-07 15:46:48.993912
160520.SH,2018-06-06,0.956,0.956,0.956,0.956,32.0,0.0,1.0,,sz,none,tencent,2026-04-07 15:46:48.993912,2026-04-07 15:46:48.993912
160520.SH,2018-06-11,0.947,0.947,0.947,0.947,12.0,0.0,1.0,,sz,none,tencent,2026-04-07 15:46:48.993912,2026-04-07 15:46:48.993912
160520.SH,2018-06-12,0.949,0.953,0.949,0.952,964.0,0.0,1.0,,sz,none,tencent,2026-04-07 15:46:48.993912,2026-04-07 15:46:48.993912
160520.SH,2018-06-15,0.947,0.947,0.947,0.947,4.0,0.0,1.0,,sz,none,tencent,2026-04-07 15:46:48.993912,2026-04-07 15:46:48.993912
160520.SH,2018-06-19,0.943,0.943,0.942,0.942,18.0,0.0,1.0,,sz,none,tencent,2026-04-07 15:46:48.993912,2026-04-07 15:46:48.993912
160520.SH,2018-06-25,0.931,0.931,0.926,0.926,34.0,0.0,1.0,,sz,none,tencent,2026-04-07 15:46:48.993912,2026-04-07 15:46:48.993912
160520.SH,2018-06-26,0.927,0.927,0.927,0.927,50.0,0.0,1.0,,sz,none,tencent,2026-04-07 15:46:48.993912,2026-04-07 15:46:48.993912
160520.SH,2018-06-27,0.928,0.928,0.928,0.928,5.0,0.0,1.0,,sz,none,tencent,2026-04-07 15:46:48.994917,2026-04-07 15:46:48.994917
160520.SH,2018-07-03,0.918,0.918,0.916,0.916,54.0,0.0,1.0,,sz,none,tencent,2026-04-07 15:46:48.994917,2026-04-07 15:46:48.994917
160520.SH,2018-07-04,0.911,0.911,0.911,0.911,10.0,0.0,1.0,,sz,none,tencent,2026-04-07 15:46:48.994917,2026-04-07 15:46:48.994917
160520.SH,2018-07-09,0.91,0.911,0.91,0.911,24.0,0.0,1.0,,sz,none,tencent,2026-04-07 15:46:48.994917,2026-04-07 15:46:48.994917
160520.SH,2018-07-10,0.911,0.911,0.911,0.911,14.0,0.0,1.0,,sz,none,tencent,2026-04-07 15:46:48.994917,2026-04-07 15:46:48.994917
