YearMonth,沪深300ETF (510300),黄金ETF (518880),中债30年国债指数 (CBA21801),组合月度总收益率
2016-12,-0.015160749644080138,-0.0008989472193107061,-0.02924953786249679,-0.04453964186547932
2017-01,0.001606117021441245,0.0008409881973396989,-0.011572245649215097,-0.003944268528594419
2017-02,0.005193165052160847,0.012630643850138944,-0.0034103699970550005,0.014449964594386966
2017-03,0.0008607226318942719,-0.0011987981767150233,0.002699849869841271,0.002269418337829121
2017-04,-0.0031917001198393255,0.004577312006030646,-0.006814478139979173,-0.005338377479707668
2017-05,0.006173184628520305,-0.003129529349269102,-0.006109633395879531,-0.0031825592951310044
2017-06,0.015441217384453684,-0.0077617411210404745,0.0034937358424272347,0.010505346869619903
2017-07,0.007056519090555376,0.002107007727140573,-0.008088978741925303,0.001031102356795044
2017-08,0.005280033508383876,0.0010930712117600018,-0.009723433903043538,-0.004117401868279691
2017-09,0.0009005280433266126,-0.0010430806367823253,0.002054925710262313,0.0018892528984113532
2017-10,0.00804056777690022,-0.0017916068402940154,-0.010803603018512568,-0.00456694838576488
2017-11,-0.00035265663671045933,0.0001563303144659538,0.0036357838807351763,0.003364196606694847
2017-12,0.0008515886433464676,-0.000724627321860053,-0.003868120792172228,-0.00421041690734314
2018-01,0.005817818173436598,0.0025108697717978546,0.0006972129832322235,0.009655132749279982
2018-02,-0.006784639529516895,-0.0035951618882429544,0.012467597874983595,0.0020425583951086956
2018-03,-0.0015806945320099267,-3.321237409749638e-05,0.013876099207933137,0.011594840178811294
2018-04,-0.0021596807618379666,4.1669945995373e-05,0.01698173027833293,0.014765028936195135
2018-05,0.0008635680713241791,-0.00034351113559612505,0.005200422784889973,0.005609476332358421
2018-06,-0.004887424061126933,-0.0024459800125091547,0.01377544286400243,0.006390524144513243
2018-07,0.0006826694487464915,0.001163717087438714,0.001745084479234093,0.003566791678423664
2018-08,-0.00359018441155617,-0.0031966710479288158,-0.015220166723648012,-0.02234684950222987
2018-09,0.0032512599211644193,-0.0033183769393837995,0.001319186523917052,0.0007686145934520106
2018-10,-0.008181096414749567,0.01682191933949133,0.010111745937119408,0.018852117269434254
2018-11,0.0007634387455254581,0.0012194342193682162,0.016823313053443485,0.018760613290260464
2018-12,-0.00309782545312245,0.013649387906511493,0.017888131860762487,0.028765367705751332
2019-01,0.003255966294250695,0.0016083698988684659,0.001236078945213658,0.007220380783848457
2019-02,0.009829147340695137,-0.0005603634491212024,-0.0006957562276712372,0.00857076299291104
2019-03,0.003762742519385017,-0.00592421177362458,0.00915891342667016,0.006569618620080986
2019-04,0.0001961054440317373,-0.001158635831530229,-0.02769535453833553,-0.028296834842038487
2019-05,-0.005433081356041808,0.012501855003798003,0.0047830252695053805,0.010674927060568606
2019-06,0.0061370773850447195,0.028688095850785855,0.009737635184255895,0.04530870437112533
2019-07,0.0010675512751452186,0.0006931793077551581,0.007173093531659002,0.009328042188520236
2019-08,-0.0010102763647359405,0.025173534508528002,0.01709663176692013,0.04178872043739412
2019-09,-0.0002832901340168641,-0.004725174276916151,-0.006556168630117549,-0.011029999042314165
2019-10,0.002820464553749028,-0.001312320629396487,-0.013894745891777447,-0.01237181034445356
2019-11,-0.0030652651712922566,-0.0026426917017679068,0.01681579718550398,0.011663605610051642
2019-12,0.009155618121332327,0.003482704302690577,0.006230905566028273,0.021792806053299474
2020-01,-0.004230410950692121,0.0013380938380763829,0.019583413897689635,0.016798938609014824
2020-02,-0.0026606870039386807,0.005427810770717479,0.024065177884403037,0.027106813399354834
2020-03,-0.008408676651971413,-0.00013700919789120118,0.011945884207259009,0.002191986587099626
2020-04,0.008458407525889961,0.006378507672382227,-0.0031659312685888763,0.011527905431099494
2020-05,-0.0014932310410258828,0.004714170835191333,-0.01474497723620241,-0.011537910519315075
2020-06,0.011126976783136119,0.0019966324013393996,-0.005944270778183055,0.0070782154545399045
2020-07,0.02018496447883817,0.01178463033095817,-0.014447699096931025,0.01754165772229288
2020-08,0.00439422107404486,-0.0035452495117055008,-0.0002498222655895415,0.0003703786899222905
2020-09,-0.007289259820541404,-0.0033864087116903707,-0.01048784961444643,-0.021555171042792365
2020-10,0.0036588538906751093,-0.002057718804929737,0.0003409695544951411,0.001887175384490014
2020-11,0.008940916499763916,-0.007206073217123507,0.001784444226941038,0.0034675853928232137
2020-12,0.007098428186344329,0.006142668290073107,0.016960954264836712,0.029587951654057587
2021-01,0.0014325546871039934,-0.0010952266930664674,0.003011289790157038,0.004186896754088787
2021-02,-0.000369169960109507,-0.00335221923424379,-0.005971573206840936,-0.009709206039437812
2021-03,-0.003011865109359116,-0.002855835128543271,0.016763817340058808,0.010692458824134832
2021-04,0.0009299789117402568,0.0030540089162570077,0.008879194156323074,0.012564072421919814
2021-05,0.0019739835234648057,0.004366983095096564,0.01167826386511409,0.01815792426518259
2021-06,-0.0005934104240006709,-0.0048326377760470164,-0.006452592731267129,-0.011991242602894525
2021-07,-0.0028162183491284264,0.0026990969563061686,0.03108368479612904,0.03131654499642278
2021-08,-0.00033255800311530483,-0.0004703346476958242,0.007520713245777611,0.006977179332471994
2021-09,0.0005255173990371795,-0.005087755744334518,0.00018845679397316525,-0.004192520677330558
2021-10,0.000692972673397362,0.0023074614641726155,-0.00564977722402371,-0.0027407639124603644
2021-11,-0.001042546286265001,-0.00011911323375803101,0.01467203153715819,0.013562775093706625
2021-12,0.0020092763217251144,0.0018232930648829782,0.006528110611212995,0.01053821564119728
2022-01,-0.009628032712504704,-0.002142833870786533,0.010243446636045272,8.933499045182813e-06
2022-02,0.00035936567644624597,0.008502636009058448,-0.007633357733871169,0.001183349833512315
2022-03,-0.007443665469419632,0.002035820749140138,0.0011104211813904143,-0.004427487631462723
2022-04,-0.003792988440106921,0.0035686082740367803,0.008834897975826553,0.008290486420851284
2022-05,0.0008707826053108658,-0.0016080260548740587,0.008181420568152452,0.007190882273010013
2022-06,0.005471293994590476,-0.0013728668550766635,-0.0020284232586913423,0.002064144175200955
2022-07,-0.003768265635719299,-0.0016260256071081109,0.010450475209808338,0.005050401118913861
2022-08,-0.0009972286816357044,0.00021668890861772472,0.023253508470822314,0.022659801636077725
2022-09,-0.003458398330673125,0.000572961752928796,-0.006787849750744968,-0.009662901182422079
2022-10,-0.004566792179381318,0.000522490633959304,0.013557475913318108,0.00893193085273225
2022-11,0.006487401445713412,0.004961103289657919,-0.024392134290118734,-0.012500656273429667
2022-12,0.0004754305524422906,0.0018732584664162256,0.011286161339406376,0.013584005909125008
2023-01,0.005494009040087672,0.003907125686953376,-0.004034206447865739,0.00695667727336291
2023-02,-0.0020093161851235906,-0.0034427649333265285,0.00017570990593016017,-0.0053550589094202294
2023-03,-0.0005268152096276448,0.01565060086485675,0.009422835133621917,0.02476528786051868
2023-04,-0.0006130868868544214,-0.0004190705824123758,0.012598618340487186,0.012420691641511272
2023-05,-0.00522573077616489,0.002624484531357554,0.005887079724038112,0.003250271530124582
2023-06,0.0015192069480472197,-0.00031890092738245604,0.010418274550792542,0.011692145671219789
2023-07,0.0036826166710744405,0.0009574366885508363,0.008466519587791104,0.013149899027300682
2023-08,-0.006373550504857876,0.001949564908304553,0.017763454569791528,0.0131984422520115
2023-09,-0.002017122490552102,-0.00146746291086409,-0.014985126871747839,-0.01834336455686325
2023-10,-0.004475988831579148,0.007580536841005226,-0.0007023959312834744,0.0022802809697648474
2023-11,-0.0031362806035211033,-0.0011753691153982345,0.00794350662035268,0.0036151660672896213
2023-12,-0.0024567378258939245,0.002262425832615965,0.017054061608959975,0.016950967131252437
2024-01,-0.0103730271730952,0.00018306341542793987,0.026702027662195763,0.019233310162611206
2024-02,0.010260219940300274,-0.00022059238486257327,0.019084325309986983,0.029482682562028906
2024-03,0.0008029299933641724,0.02245062904342266,-0.003303665732638288,0.020111419409096776
2024-04,0.0028438720597796,0.007602707123854792,-0.00047733525215007573,0.009899156663996322
2024-05,-0.0019336905847289366,0.0022956641746733645,0.0008577862518719655,0.0010220294775726835
2024-06,-0.005628380036403209,-0.0018806981927586186,0.015597720244440503,0.008059639415848086
2024-07,0.0013409087068974954,0.003930747321330884,0.010402677431398869,0.015728443556154215
2024-08,-0.008102890313144151,0.0024034023573641958,0.0030760371856573565,-0.0027017704103676765
2024-09,0.07431617775592647,0.003617208961328572,0.002496806581212716,0.08163990323564008
2024-10,-0.005750027398757356,0.010193315357112665,0.004218286786645741,0.017044815774368782
2024-11,0.001153377557273101,-0.004879549078697515,0.016293199499752217,0.012351538859407762
2024-12,0.0007490861863997372,0.00016051925654161366,0.034622976500258286,0.0360149419733391
2025-01,-0.0037534777541479436,0.00936170084537853,0.010991563755113235,0.01652465268634895
2025-02,0.0027691274283457206,0.00852208142902516,-0.010772518625542862,0.00037192196926638665
2025-03,-0.0003151715693134829,0.020154390262009828,-0.011176569252630763,0.008493384794185044
2025-04,-0.003781096033181858,0.016044204285870608,0.025838896729262227,0.038417557868722474
2025-05,0.00418786449585818,-0.0004788997209306523,-0.008638428106289757,-0.0049638111543527375
2025-06,0.0012642732848670332,-0.0011541869214883311,0.0066508044307571935,0.01155049518877016
2025-07,0.009256598025087865,0.0007956936445556119,-0.00528778075506822,0.004708926836092919
2025-08,0.029453886013707433,0.0022220505012322945,-0.013171901717585414,0.01823004011462981
2025-09,0.009141972183328954,0.013733177955159262,-0.013988306798612292,0.008775686682403583
2025-10,0.001120716077988776,0.007021714363504434,0.013547107118085816,0.021499874250262563
2025-11,-0.007368090794081185,0.0029633638347215598,-0.009011655024328161,-0.013418939737053437
2025-12,0.006320624577548803,0.00244184693656105,-0.014595248496318759,-0.006760056508704149
2026-01,-0.0018704566140839382,0.017032211128675437,0.0029508455960811485,0.023855594548692904
2026-02,0.0010831901344263999,-0.0027232660024313847,0.0026627301446763446,0.0004230561213636186
2026-03,-0.011640921529538988,-0.0023348626972352314,-0.005063021665408446,-0.019509648596499174
2026-04,0.014996402415497665,0.00026548646162069685,0.0112608885643204,0.02649820335405395
2026-05,0.004006122672862161,-0.0005596839881306122,0.007261881116169059,0.01068646630794845
2026-06,0.00393087644244485,-0.002019963029714147,0.0005009129152056526,0.0022568939243663433
2026-07,-0.008038080323623341,0.00020578349068949215,0.014844395911821563,0.007074427039452491
2026-08,-0.0011221666588169391,-4.0438438155566836e-05,0.0003388218787610941,-0.0007089131351225575
