Trade_Date,Asset_ID,Asset_Name,Price,Holding_Weight_Pct,Daily_Contribution_Pct
2025-09-10,CN_ETF:510300.SH,沪深300ETF (510300),4.538,29.3894157494614,0.06452556748266766
2025-09-10,CN_ETF:518880.SH,黄金ETF (518880),7.947,12.86677429269335,-0.030649644554264534
2025-09-10,CN_INDEX:CBA21801.CS,中债30年国债指数 (CBA21801),246.4494,57.710057748620194,-0.400379383725985
2025-09-11,CN_ETF:510300.SH,沪深300ETF (510300),4.66,29.97118761701662,0.7901076953358968
2025-09-11,CN_ETF:518880.SH,黄金ETF (518880),7.923,12.73936263356344,-0.038857755508322434
2025-09-11,CN_INDEX:CBA21801.CS,中债30年国债指数 (CBA21801),246.2097,57.255930539051256,-0.0561295780892336
2025-09-12,CN_ETF:510300.SH,沪深300ETF (510300),4.621,29.72725339982959,-0.25083182769605994
2025-09-12,CN_ETF:518880.SH,黄金ETF (518880),7.954,12.792175586574581,0.04984478627293353
2025-09-12,CN_INDEX:CBA21801.CS,中债30年国债指数 (CBA21801),246.9742,57.44704402396437,0.17778405520621324
2025-09-15,CN_ETF:510300.SH,沪深300ETF (510300),4.629,29.77485845677148,0.051464623933909444
2025-09-15,CN_ETF:518880.SH,黄金ETF (518880),7.931,12.753532211096049,-0.03699019845250285
2025-09-15,CN_INDEX:CBA21801.CS,中债30年国债指数 (CBA21801),246.9677,57.438086687874836,-0.00151192224189637
2025-09-16,CN_ETF:510300.SH,沪深300ETF (510300),4.62,29.6405304332998,-0.05789019790687519
2025-09-16,CN_ETF:518880.SH,黄金ETF (518880),8.032,12.882724049797831,0.16241416634985584
2025-09-16,CN_INDEX:CBA21801.CS,中债30年国债指数 (CBA21801),247.6271,57.44330909940961,0.15335881721368344
2025-09-17,CN_ETF:510300.SH,沪深300ETF (510300),4.653,29.7485820920617,0.21171807452356922
2025-09-17,CN_ETF:518880.SH,黄金ETF (518880),7.964,12.72929872024389,-0.10906688687577835
2025-09-17,CN_INDEX:CBA21801.CS,中债30年国债指数 (CBA21801),248.6868,57.488798883182426,0.24582396132186082
2025-09-18,CN_ETF:510300.SH,沪深300ETF (510300),4.594,29.581691940774117,-0.3772117651905472
2025-09-18,CN_ETF:518880.SH,黄金ETF (518880),7.862,12.65625065511352,-0.1630322035993074
2025-09-18,CN_INDEX:CBA21801.CS,中债30年国债指数 (CBA21801),247.9482,57.728498500578866,-0.17074177984162223
2025-09-19,CN_ETF:510300.SH,沪深300ETF (510300),4.604,29.73092949415625,0.06439201554369278
2025-09-19,CN_ETF:518880.SH,黄金ETF (518880),7.898,12.75059085278269,0.05795281398932739
2025-09-19,CN_INDEX:CBA21801.CS,中债30年国债指数 (CBA21801),246.197,57.484824705705236,-0.4077228492653451
2025-09-22,CN_ETF:510300.SH,沪深300ETF (510300),4.619,29.69884949130956,0.0968644531738326
2025-09-22,CN_ETF:518880.SH,黄金ETF (518880),8.048,12.9365847968207,0.2421611329345932
2025-09-22,CN_INDEX:CBA21801.CS,中债30年国债指数 (CBA21801),246.6045,57.331056253613355,0.09514765032707274
2025-09-23,CN_ETF:510300.SH,沪深300ETF (510300),4.622,29.75170408721553,0.019289142341185308
2025-09-23,CN_ETF:518880.SH,黄金ETF (518880),8.143,13.104074339149498,0.15270571020104198
2025-09-23,CN_INDEX:CBA21801.CS,中债30年国债指数 (CBA21801),245.3794,57.110674267780546,-0.28481344426521665
2025-09-24,CN_ETF:510300.SH,沪深300ETF (510300),4.663,30.00245742034619,0.2639160250055937
2025-09-24,CN_ETF:518880.SH,黄金ETF (518880),8.19,13.17392913749921,0.07563447058086896
2025-09-24,CN_INDEX:CBA21801.CS,中债30年国债指数 (CBA21801),244.109,56.7900808477354,-0.29567844973860036
2025-09-25,CN_ETF:510300.SH,沪深300ETF (510300),4.695,30.14181841749336,0.20589290959705883
2025-09-25,CN_ETF:518880.SH,黄金ETF (518880),8.146,13.074294612827519,-0.07077568767398672
2025-09-25,CN_INDEX:CBA21801.CS,中债30年国债指数 (CBA21801),244.477,56.75042822860217,0.08561236886786376
2025-09-26,CN_ETF:510300.SH,沪深300ETF (510300),4.651,29.926738092750632,-0.2824792354355096
