Trade_Date,Asset_ID,Asset_Name,Price,Holding_Weight_Pct,Daily_Contribution_Pct
2025-08-18,CN_ETF:510300.SH,沪深300ETF (510300),4.327,13.02638900428005,0.09596457682172473
2025-08-18,CN_ETF:512890.SH,红利低波ETF (512890),1.197,12.78909157954976,0.02128626029991689
2025-08-18,CN_ETF:518880.SH,黄金ETF (518880),7.413,7.87650362474161,0.012701193991111217
2025-08-18,CN_INDEX:CBA21801.CS,中债30年国债指数 (CBA21801),248.4715,44.88125373899197,-0.5850180536633814
2025-08-19,CN_ETF:159981.SZ,能源化工ETF (159981),1.313,6.19642278802784,-0.018889347242212206
2025-08-19,CN_ETF:159985.SZ,豆粕ETF (159985),2.03,11.85543685938647,0.040907242621413334
2025-08-19,CN_ETF:510300.SH,沪深300ETF (510300),4.305,12.951786036038198,-0.06623077376800714
2025-08-19,CN_ETF:512890.SH,红利低波ETF (512890),1.196,12.77015250819797,-0.010684287033876867
2025-08-19,CN_ETF:518880.SH,黄金ETF (518880),7.391,7.8480549778527005,-0.02337556721223734
2025-08-19,CN_INDEX:CBA21801.CS,中债30年国债指数 (CBA21801),249.2627,44.9950823298283,0.1429139678324922
2025-08-20,CN_ETF:159981.SZ,能源化工ETF (159981),1.319,6.21211934385426,0.02831571723394304
2025-08-20,CN_ETF:159985.SZ,豆粕ETF (159985),2.026,11.80808970123413,-0.023360466718003133
2025-08-20,CN_ETF:510300.SH,沪深300ETF (510300),4.364,13.10267370778602,0.17750415241028045
2025-08-20,CN_ETF:512890.SH,红利低波ETF (512890),1.207,12.861477224164231,0.11745123544329443
2025-08-20,CN_ETF:518880.SH,黄金ETF (518880),7.374,7.814130257282639,-0.018051269736638918
2025-08-20,CN_INDEX:CBA21801.CS,中债30年国债指数 (CBA21801),248.8266,44.82530361527665,-0.07872158732147663
2025-08-21,CN_ETF:159981.SZ,能源化工ETF (159981),1.33,6.24862413915823,0.051806908857010656
2025-08-21,CN_ETF:159985.SZ,豆粕ETF (159985),1.997,11.61063663706767,-0.1690200401459954
2025-08-21,CN_ETF:510300.SH,沪深300ETF (510300),4.378,13.112596809614399,0.042034241958982914
2025-08-21,CN_ETF:512890.SH,红利低波ETF (512890),1.214,12.90446594543041,0.07459017445662557
2025-08-21,CN_ETF:518880.SH,黄金ETF (518880),7.394,7.816183119632029,0.02119373544150519
2025-08-21,CN_INDEX:CBA21801.CS,中债30年国债指数 (CBA21801),250.0716,44.9395349155117,0.2242827053097166
2025-08-22,CN_ETF:159981.SZ,能源化工ETF (159981),1.327,6.23157159524681,-0.014094640915394746
2025-08-22,CN_ETF:159985.SZ,豆粕ETF (159985),1.98,11.50633632347665,-0.09883866941920487
2025-08-22,CN_ETF:510300.SH,沪深300ETF (510300),4.479,13.408738394222262,0.3025062306466549
2025-08-22,CN_ETF:512890.SH,红利低波ETF (512890),1.209,12.84522023941471,-0.05314854178513258
2025-08-22,CN_ETF:518880.SH,黄金ETF (518880),7.378,7.79556927406893,-0.01691356909847335
2025-08-22,CN_INDEX:CBA21801.CS,中债30年国债指数 (CBA21801),249.6707,44.84620363030607,-0.07204440467301017
2025-08-25,CN_ETF:159981.SZ,能源化工ETF (159981),1.335,6.21750177534757,0.037567876987169464
2025-08-25,CN_ETF:159985.SZ,豆粕ETF (159985),2.001,11.532592548638371,0.1220369004005088
2025-08-25,CN_ETF:510300.SH,沪深300ETF (510300),4.565,13.55362992347888,0.25745735697769934
2025-08-25,CN_ETF:512890.SH,红利低波ETF (512890),1.219,12.84478814804225,0.10624665210434102
2025-08-25,CN_ETF:518880.SH,黄金ETF (518880),7.427,7.782705452613441,0.0517732304729432
2025-08-25,CN_INDEX:CBA21801.CS,中债30年国债指数 (CBA21801),251.0928,44.730149673385746,0.25543960978463964
2025-08-26,CN_ETF:159981.SZ,能源化工ETF (159981),1.326,6.1786076714254605,-0.04191574230571364
2025-08-26,CN_ETF:159985.SZ,豆粕ETF (159985),1.986,11.45174178647856,-0.08645121850553407
2025-08-26,CN_ETF:510300.SH,沪深300ETF (510300),4.541,13.48896992112645,-0.0712567619197144
2025-08-26,CN_ETF:512890.SH,红利低波ETF (512890),1.216,12.819446022342179,-0.03161145565556038
2025-08-26,CN_ETF:518880.SH,黄金ETF (518880),7.449,7.80957837292674,0.02305365826814242
2025-08-26,CN_INDEX:CBA21801.CS,中债30年国债指数 (CBA21801),251.9869,44.911390195347714,0.15927667708103863
2025-08-27,CN_ETF:159981.SZ,能源化工ETF (159981),1.315,6.1576044609768505,-0.051255418088748665
2025-08-27,CN_ETF:159985.SZ,豆粕ETF (159985),1.986,11.50828178222911,0.0
2025-08-27,CN_ETF:510300.SH,沪深300ETF (510300),4.475,13.358548270973781,-0.19605197418946438
2025-08-27,CN_ETF:512890.SH,红利低波ETF (512890),1.197,12.68144590971351,-0.20030384409909513
2025-08-27,CN_ETF:518880.SH,黄金ETF (518880),7.45,7.84918971689159,0.001048406279088154
2025-08-27,CN_INDEX:CBA21801.CS,中债30年国债指数 (CBA21801),251.7359,45.08817213435122,-0.044735495928688564
2025-08-28,CN_ETF:159981.SZ,能源化工ETF (159981),1.314,6.15333966865748,-0.004682588943708261
2025-08-28,CN_ETF:159985.SZ,豆粕ETF (159985),1.987,11.51485831659645,0.0057947038178395955
2025-08-28,CN_ETF:510300.SH,沪深300ETF (510300),4.559,13.610225009702079,0.2507526379355987
2025-08-28,CN_ETF:512890.SH,红利低波ETF (512890),1.197,12.68230700715681,0.0
2025-08-28,CN_ETF:518880.SH,黄金ETF (518880),7.468,7.86868846670104,0.018964485222020305
2025-08-28,CN_INDEX:CBA21801.CS,中债30年国债指数 (CBA21801),250.1859,44.81359587525541,-0.27761899200012224
2025-08-29,CN_ETF:159981.SZ,能源化工ETF (159981),1.311,6.1313015956873596,-0.014048720704697953
2025-08-29,CN_ETF:159985.SZ,豆粕ETF (159985),1.992,11.52881126127301,0.028975486453439038
2025-08-29,CN_ETF:510300.SH,沪深300ETF (510300),4.601,13.717735037467921,0.12538483228942338
2025-08-29,CN_ETF:512890.SH,红利低波ETF (512890),1.194,12.634059048916649,-0.03178523059437867
2025-08-29,CN_ETF:518880.SH,黄金ETF (518880),7.486,7.87738965880702,0.018965772951341983
2025-08-29,CN_INDEX:CBA21801.CS,中债30年国债指数 (CBA21801),250.2016,44.75808634754011,0.0028122026670619246
2025-09-01,CN_ETF:159981.SZ,能源化工ETF (159981),1.307,8.83378052450265,-0.018707251245422853
2025-09-01,CN_ETF:159985.SZ,豆粕ETF (159985),2.005,11.56545171365824,0.07523822610268369
2025-09-01,CN_ETF:510300.SH,沪深300ETF (510300),4.616,13.71667991950713,0.04472202250858695
2025-09-01,CN_ETF:512890.SH,红利低波ETF (512890),1.191,12.56039694382741,-0.03174386695707644
2025-09-01,CN_ETF:518880.SH,黄金ETF (518880),7.647,8.02004164627926,0.1694175440913614
2025-09-01,CN_INDEX:CBA21801.CS,中债30年国债指数 (CBA21801),250.7336,44.70406242979725,0.09516846389827907
2025-09-02,CN_ETF:159981.SZ,能源化工ETF (159981),1.305,8.82491692735223,-0.013517644260906654
2025-09-02,CN_ETF:159985.SZ,豆粕ETF (159985),1.992,11.49652673675042,-0.0749879662232202
2025-09-02,CN_ETF:510300.SH,沪深300ETF (510300),4.59,13.646616485162399,-0.07726032883604471
2025-09-02,CN_ETF:512890.SH,红利低波ETF (512890),1.2,12.661989408250129,0.09491483836645416
2025-09-02,CN_ETF:518880.SH,黄金ETF (518880),7.67,8.04840818463634,0.02412200312075615
2025-09-02,CN_INDEX:CBA21801.CS,中债30年国债指数 (CBA21801),250.6999,44.72163906102702,-0.00600847634255566
2025-09-03,CN_ETF:159981.SZ,能源化工ETF (159981),1.303,8.79246733058291,-0.013524776900156592
2025-09-03,CN_ETF:159985.SZ,豆粕ETF (159985),2.015,11.60429079737299,0.13274102155886697
2025-09-03,CN_ETF:510300.SH,沪深300ETF (510300),4.549,13.49567065543643,-0.1218978814578767
2025-09-03,CN_ETF:512890.SH,红利低波ETF (512890),1.187,12.497917462181091,-0.1371715519227087
2025-09-03,CN_ETF:518880.SH,黄金ETF (518880),7.768,8.133736152853,0.10283494160291545
2025-09-03,CN_INDEX:CBA21801.CS,中债30年国债指数 (CBA21801),252.114,44.87730285721742,0.2522572597603626
2025-09-04,CN_ETF:159981.SZ,能源化工ETF (159981),1.293,8.77421666587826,-0.06747864413340716
2025-09-04,CN_ETF:159985.SZ,豆粕ETF (159985),1.983,11.48443804301159,-0.18428650397813154
2025-09-04,CN_ETF:510300.SH,沪深300ETF (510300),4.456,13.294352765693459,-0.2759062147627148
2025-09-04,CN_ETF:512890.SH,红利低波ETF (512890),1.19,12.60019820027948,0.031586986003826145
2025-09-04,CN_ETF:518880.SH,黄金ETF (518880),7.75,8.16067435321504,-0.01884748336139927
2025-09-04,CN_INDEX:CBA21801.CS,中债30年国债指数 (CBA21801),251.8549,45.08412773386601,-0.04612083886775545
2025-09-05,CN_ETF:159981.SZ,能源化工ETF (159981),1.307,8.852201909950018,0.09500311935212305
2025-09-05,CN_ETF:159985.SZ,豆粕ETF (159985),1.994,11.52598587338465,0.06370590946703415
2025-09-05,CN_ETF:510300.SH,沪深300ETF (510300),4.554,13.560663419739418,0.2923802897302418
2025-09-05,CN_ETF:512890.SH,红利低波ETF (512890),1.185,12.52318105859451,-0.05294200924487018
